Sample ID,Depth (m),Th (ppm),U (ppm),R230Th_238U,R08_2SE,R234U_238U,R48_2SE
REU-15-201L,0.025,5.091378721,1.39530178,1.121865743,0.00569301,1.019412279,0.005422897
REU-15-201K,0.12,6.428611569,1.809121735,1.138526736,0.007941393,1.025674849,0.004796407
REU-15-201J,0.35,9.918281771,2.446334541,1.213046211,0.00817651,1.016193073,0.005840624
REU-15-201I,0.53,8.376980822,2.669904151,0.998824828,0.007304534,1.012272669,0.005351131
REU-15-201H,0.725,7.033287315,1.969043131,1.110588174,0.007425781,1.017834333,0.004675141
REU-15-201G,0.91,4.458770047,1.343275825,1.105532582,0.008073132,1.017561243,0.005106162
REU-15-201F,1,3.924183595,1.074693739,1.125346337,0.008676143,1.007996286,0.004378675
REU-15-201E,1.1,3.632534581,0.996545579,1.140392762,0.008459744,1.008137606,0.006873481
REU-15-201D,1.35,4.549038034,1.336710231,1.086068046,0.007587487,1.009320085,0.004676095
REU-15-201C,1.6,2.010154298,0.435193814,1.385196268,0.011240583,1.002072673,0.00475045
REU-15-201B,1.75,1.622625415,0.392719948,1.285027525,0.010656424,1.008276172,0.003294744
REU-15-201A,2.2,1.642607358,0.399802385,1.303548517,0.009845476,1.004067395,0.003912422
